Iterations	Algorithm	BitErrorRate
1	Majority	0.0021
1	Majority	0.0029
1	Majority	0.0039
1	Majority	0.0049
1	Majority	0.0057
1	Majority	0.0068
1	Majority	0.0074
1	Majority	0.0091
1	Majority	0.0105
1	Majority	0.0121
1	Majority	0.0129
1	Majority	0.0137
1	Majority	0.0146
1	Majority	0.016
1	Majority	0.0171
1	Majority	0.0185
1	Majority	0.0188
1	Majority	0.0196
1	Majority	0.0207
1	Majority	0.022
1	Majority	0.0229
1	Majority	0.0243
1	Majority	0.0251
1	Majority	0.0258
1	Majority	0.0268
1	Majority	0.0284
1	Majority	0.0296
1	Majority	0.0317
1	Majority	0.0329
1	Majority	0.034
1	Majority	0.0352
1	Majority	0.0369
1	Majority	0.0378
1	Majority	0.0393
1	Majority	0.04
1	Majority	0.042
1	Majority	0.0434
1	Majority	0.0447
1	Majority	0.0456
1	Majority	0.0465
1	Majority	0.0473
1	Majority	0.0485
1	Majority	0.0496
1	Majority	0.0513
1	Majority	0.0521
1	Majority	0.0527
1	Majority	0.0538
1	Majority	0.0548
1	Majority	0.0562
1	Majority	0.0574
1	Majority	0.0582
1	Majority	0.0599
1	Majority	0.0611
1	Majority	0.0624
1	Majority	0.0636
1	Majority	0.0646
1	Majority	0.0655
1	Majority	0.0667
1	Majority	0.0676
1	Majority	0.068
1	Majority	0.069
1	Majority	0.0701
1	Majority	0.0712
1	Majority	0.0726
1	Majority	0.0736
1	Majority	0.0751
1	Majority	0.0761
1	Majority	0.0769
1	Majority	0.0782
1	Majority	0.0796
1	Majority	0.0807
1	Majority	0.0823
1	Majority	0.0839
1	Majority	0.0859
1	Majority	0.0865
1	Majority	0.0878
1	Majority	0.0892
1	Majority	0.09
1	Majority	0.0906
1	Majority	0.092
1	Majority	0.0926
1	Majority	0.094
1	Majority	0.0949
1	Majority	0.0964
1	Majority	0.0982
1	Majority	0.0991
1	Majority	0.1005
1	Majority	0.102
1	Majority	0.1027
1	Majority	0.1035
1	Majority	0.1046
1	Majority	0.1055
1	Majority	0.1065
1	Majority	0.1079
1	Majority	0.1092
1	Majority	0.1103
1	Majority	0.1114
